dataset,model,EPE,Fl-all_%,AngularError_deg,FPS_median,N
sintel,RAFT,4.1054800476716915,22.513300648757912,15.980948116468346,14.441355612404756,23
sintel,SPyNet,10.65019224519315,52.93118720695164,60.6780134283978,12.456466409477395,23
sintel,PWCNet,2.4987623516632165,13.938150911790682,11.770484136498492,6.055104094333821,23
sintel,FlowNet2,2.8001321074755294,12.875394208686757,12.338006330573041,4.601388873651992,23
chairs,RAFT,4.533869195530812,19.362721760969222,16.597146829565364,19.505896230962183,300
chairs,SPyNet,11.45891045808792,61.749143812077406,67.93471632639567,24.876288952771873,300
chairs,PWCNet,2.2475200787186624,11.566023084793603,11.645559242566426,20.0032159032149,300
chairs,FlowNet2,1.9462090410292148,9.933066474016316,9.737847908039887,9.99139811312422,300
