timestamp,dataset,model,EPE,Fl-all_%,AngularError_deg,FPS_median,N
2025-11-12T16:49:25,chairs,FlowNet2,1.9462090542415778,9.933071560279338,9.737848168313503,10.449304988539126,300
2025-11-12T16:48:46,chairs,PWCNet,2.247520084877809,11.566019693951588,11.645559522509576,21.34435762424215,300
2025-11-12T16:48:07,chairs,RAFT,4.533869195530812,19.362721760969222,16.597146829565364,29.29371983030317,300
2025-11-12T16:48:24,chairs,SPyNet,11.602178652087847,62.3206024166752,73.16011228561402,26.538753651189047,300
2025-11-12T16:50:57,kitti15-noc,FlowNet2,26.684790802001952,93.82062993241078,54.33825643062592,4.760705038474823,20
2025-11-12T16:50:47,kitti15-noc,PWCNet,26.470009660720827,94.05402337578847,54.53908498287201,11.766419177482536,20
2025-11-12T16:50:41,kitti15-noc,RAFT,25.04144458770752,94.57305930254134,56.98566126823425,14.483937663416645,20
2025-11-12T16:50:44,kitti15-noc,SPyNet,27.4494344830513,93.14165221888456,77.07422332763672,19.287349454503307,20
2025-11-12T16:50:09,kitti15-occ,FlowNet2,29.981395053863526,94.68831174280639,51.962209260463716,4.740837590260738,20
2025-11-12T16:49:58,kitti15-occ,PWCNet,29.56921763420105,94.70923189018242,52.227494871616365,11.107581237476566,20
2025-11-12T16:49:53,kitti15-occ,RAFT,29.730375957489013,95.28507574599291,55.6858011007309,14.558677389760174,20
2025-11-12T16:49:55,kitti15-occ,SPyNet,33.673360323905946,92.57998183304792,86.15186614990235,19.34970379169677,20
2025-11-12T16:47:51,sintel-clean,FlowNet2,1.1992488563060761,7.69150480216167,6.527532291412354,4.863829599719834,5
2025-11-12T16:47:45,sintel-clean,PWCNet,1.3415783226490021,8.763394137021656,7.2443421363830565,13.430626268836416,5
2025-11-12T16:47:43,sintel-clean,RAFT,3.7871167421340943,16.812508959251335,11.06243314743042,14.843678445667368,5
2025-11-12T16:47:44,sintel-clean,SPyNet,12.277075099945069,57.0622939362254,82.07225341796875,14.745674880380252,5
2025-11-12T16:47:30,sintel-final,FlowNet2,2.0390308082103727,12.51975523219673,7.983620738983154,5.0262004965919225,5
2025-11-12T16:47:24,sintel-final,PWCNet,2.3778215020895006,15.066657110057994,8.512643241882325,10.584566932313143,5
2025-11-12T16:47:22,sintel-final,RAFT,5.174269205331802,23.201153956370053,13.632397079467774,15.778321991370328,5
2025-11-12T16:47:23,sintel-final,SPyNet,12.120897960662841,50.16301426307571,76.75100860595703,19.13285284189399,5
2025-11-12T17:46:58,vkitti2,FlowNet2,19.011823995765297,80.77534781391752,43.649600310325624,3.781648770282182,400
2025-11-12T17:32:53,vkitti2,PWCNet,18.68423470571637,79.16905343491138,43.80470678806305,9.268309745681673,400
2025-11-12T17:05:04,vkitti2,RAFT,19.03694203015417,81.9672827547423,48.503588757514954,14.655713531966638,400
2025-11-12T17:19:23,vkitti2,SPyNet,12.447928387634455,70.5959367132135,73.62927109479904,12.742060334624622,400
